"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"764",49424.3,260,63323,264,55151.6,256
"765",62046.6,260,65223.1,260,54780.5,252
"766",60378.3,260,58663.8,248,49634.4,240
"767",54725.7,264,61641.8,264,47115.2,256
"768",60192.6,264,61632.6,264,53967.2,256
"769",68190.6,252,53186.2,256,47473.4,248
"770",55827.2,260,59512.6,260,51182.8,252
"771",63848.6,264,63193.1,260,57585.4,252
"772",54139.1,256,54455.4,252,51682.3,244
"773",49131.9,260,56750.8,256,51550.4,248
"774",63075.2,260,61486.4,264,56244.3,256
"775",61053.4,260,53330.4,264,43923.9,256
"776",63154.3,260,65738.9,256,59684.4,248
"777",61289.3,252,57826.5,264,52022.7,256
"778",55253.6,260,58369,256,49929.3,248
"779",60380.3,256,57440.7,264,49731.6,256
"780",63138.4,260,65058.2,260,57623.6,252
"781",67693.1,260,54770.4,264,48251.4,256
"782",61372.2,264,50931.9,260,46264,252
"783",53155.8,260,53403.6,260,45602.9,252
"784",56789,260,55698,260,50131.5,252
"785",64827.1,260,59303.3,264,51575.5,256
"786",58938.5,260,65946.9,260,61231.6,252
"787",51333.3,260,61653.1,260,54611.6,252
"788",67880.9,260,56098,256,52751.1,248
"789",60066,260,51581.5,260,47857.7,252
"790",61566.3,264,64354.1,252,51083.4,244
"791",60903.9,260,65386.6,256,60016.8,248
"792",62808.4,256,55255.8,260,47507.5,252
"793",52656.8,260,60447.9,260,57956.9,252
"794",70083.9,260,52864.3,264,42994.8,256
"795",64261.1,256,58503.9,260,47218.4,252
"796",62036.6,260,62836.3,244,57122.7,236
"797",64485.8,260,60610.6,260,55141.4,252
"798",60878.8,256,63898.8,264,56507.5,256
"799",60301.8,264,56554.6,256,48385.8,248
"800",55351.7,264,60079.3,256,53683.2,248
"801",63982.6,260,62863.1,260,55084.7,252
"802",50881.4,260,56919.1,256,44280.9,248
"803",68189.9,256,56902.1,264,50594.5,256
"804",63724.3,264,57781.2,264,48539.5,256
"805",66460.5,264,60983,252,51291,244
"806",60697.4,256,54340.7,260,49232,252
"807",61965.8,264,58275.8,264,51879.9,256
"808",62254.9,260,53729.7,260,44762.7,252
"809",58467.3,260,59701.8,256,54680.9,248
"810",55645.3,260,57817.6,260,48972.3,252
"811",58796.7,256,59439.8,260,54158,252
"812",58518.7,256,59209.1,264,53004.1,256
"813",56799.7,260,61272.9,256,53584.4,248
"814",57092.2,248,63147.5,260,59691.2,252
"815",58961.3,260,62659.7,260,59012,252
"816",58783.9,256,56856.8,264,51784.4,256
"817",54771.4,260,55315.2,260,48955,252
"818",59108.5,260,67919,256,58022.7,248
"819",61069.6,256,59905.9,252,53391.7,244
"820",65497.7,264,60004.6,260,56859.5,252
"821",52202.2,256,57658,264,52651.1,256
"822",49270.8,256,57799.9,264,49766.4,256
"823",60165.2,260,57431.8,256,52535.1,248
"824",51783,256,60356.5,260,57086.5,252
"825",60468.4,260,59135.7,256,48595.4,248
"826",55940.3,260,58614.6,264,48804.4,256
"827",57431.1,256,62936.7,260,53087.3,252
"828",62120.2,264,56861.4,260,48129.5,252
"829",54423,264,62969.7,264,55883.5,256
"830",60820,264,54806.4,252,50371.9,244
"831",58235.1,256,64394.9,260,61261.7,252
"832",62726.7,252,63454.4,256,60168.7,248
"833",67865.6,252,60667.7,260,58160.3,252
"834",55313.4,256,59207.7,260,51761.7,252
"835",58675,256,62091.1,264,55341.7,256
"836",56918.3,256,56529.5,260,49752.9,252
"837",58284.7,256,64804.2,260,57544.8,252
"838",58380.9,264,54561.1,256,46251.7,248
