"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"127",292322.3,4732,254454.5,944,142442.7,64
"128",323570.2,4772,325817.9,936,256289.5,64
"129",269182.9,4780,264943.4,944,191045.1,64
"130",281016.8,4780,256910.1,940,135568.9,64
"131",283577.3,4676,256104.2,944,160026.5,64
"132",300283.4,4740,254593.5,944,161134.6,64
"133",279119.7,4768,257725.1,940,164330.9,64
"134",286639.2,4764,256776.5,944,148067,64
"135",274253.9,4740,261348.8,944,169348.7,64
"136",370143.6,4800,337921.5,956,260420.6,64
"137",311060.9,4668,291955.7,928,213677.7,64
"138",269828.7,4756,252901.1,940,142340.5,64
"139",281031.6,4796,257361,944,132834.5,64
"140",289414.9,4800,253790.2,932,179436.2,64
"141",283327.3,4764,256627.3,940,175281.3,64
"142",278206.6,4752,269268,944,184997.3,64
"143",260269.5,4768,259857.4,944,162860.7,64
"144",284568.3,4752,278073.5,944,195852.8,64
"145",352173.4,4780,328439.7,952,244196.6,64
"146",320760.8,4804,296257.5,948,199185,64
"147",341804.5,4788,333047.2,936,249580,64
"148",276874.2,4756,255708.4,940,171013.9,64
"149",351476.3,4768,347421.9,944,251967.9,64
"150",346317.3,4716,323408.8,932,254226.7,64
"151",277399,4792,270678.3,944,181248.4,64
"152",320556.3,4744,315325.9,948,246066.7,64
"153",272484.3,4728,254412.4,944,164324.4,64
"154",274841.2,4740,273392.6,952,198697.7,64
"155",305512.7,4708,294601.8,936,200310,64
"156",302466.5,4720,275939,932,207363.7,64
"157",282148.9,4772,255939.8,940,179865.9,64
"158",263483.8,4720,252956,940,146271.4,60
"159",274399,4764,254566.4,944,158008,64
"160",286216.6,4680,258134.6,944,182348.3,64
"161",295494.2,4664,281344.2,928,172142.3,64
"162",278219.2,4776,252649.3,940,184910.9,64
"163",298186,4764,265469.2,944,181389.7,64
"164",333761.1,4720,324290.4,944,236253.3,64
"165",271179.8,4808,256231.7,940,194175.7,64
"166",292221.3,4780,299166.7,960,226955.9,64
"167",268653.2,4720,264203.3,944,173732,64
"168",367968.3,4804,343219.9,944,220470.2,64
"169",312436.8,4740,292742.1,952,191288.5,60
"170",272977.7,4680,252292.3,944,156599.5,64
"171",291235.6,4736,260135.4,928,189623.7,64
"172",277655.8,4796,266908.6,944,170095.1,64
"173",288549.9,4708,301522.9,940,215649.5,64
"174",277360.7,4764,255224.6,940,171912.6,64
"175",278183.8,4684,253196.5,940,142644.5,64
"176",299457.5,4728,253198.6,944,172986.7,64
"177",275900.1,4760,254005.3,944,155037.9,64
"178",283807.1,4736,253167.2,944,132807.6,64
"179",332854.3,4784,321146.5,964,241170.5,64
"180",279812.4,4736,252218.5,940,140195,64
"181",260984.3,4756,252916.6,944,136672,64
"182",272931.1,4776,254262,944,135385.4,64
"183",275138.6,4808,254292.6,944,193151.1,64
"184",295710.4,4780,272869.7,936,187194.4,64
"185",335195.2,4712,315284.1,928,211546,64
"186",283013.1,4792,254359.9,944,141748.5,64
"187",266275.4,4724,253936.9,944,182609.9,64
"188",312705.7,4780,257707.3,944,178175.8,64
"189",316415,4776,279286.2,956,194261.3,64
"190",345707.3,4832,330671.8,944,263302.7,64
"191",271004.4,4716,252254.1,940,146518.8,64
"192",264944.5,4716,253420.3,940,135420.3,64
"193",266347.5,4728,256321.3,944,181506.6,64
"194",269642.7,4764,253715.5,940,153696.6,64
"195",319859.8,4780,316197.1,956,226319.8,64
"196",286431.4,4768,257082.6,940,174063.9,64
"197",293071,4700,259942.5,940,147814.2,64
"198",288792.3,4740,259673.7,944,189981.6,64
"199",283191.3,4768,252640.1,944,153351.8,64
"200",313084.8,4800,304944.5,960,232718.5,64
"201",253301,4744,254530.9,940,141645.5,64
"202",275719.6,4740,257025.4,944,149729.2,64
"203",283157.3,4712,253195.8,944,150021.2,64
"204",343044.9,4740,312038.7,948,230655.8,64
"205",310508.2,4700,286532.8,940,213018.9,64
"206",277875.6,4796,252192.5,940,145258,64
"207",274948.3,4776,254541.4,940,154844.4,64
"208",335588.6,4700,320487.4,944,220364.2,64
"209",276926.4,4720,268317.5,944,163748.7,64
"210",286993.9,4776,263803.7,944,162588.4,64
"211",277581,4676,257352,944,163430.4,64
"212",281458.2,4708,253934.3,944,147208.9,64
"213",281338.8,4696,258412,944,179346.4,64
"214",299268,4816,254057.6,944,166165.6,64
"215",335677.4,4756,331950.2,952,230754.7,64
"216",345162.1,4820,324071.3,948,222067.7,64
"217",325143.3,4800,315247.1,936,206554.9,64
"218",345111.7,4732,282841.4,940,210959.5,64
"219",269675.4,4764,274712.7,944,166994.4,64
