"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"371",598896.2,276,598257.8,268,70551.1,16
"372",598258.6,268,598190.4,260,70048.6,12
"373",598267.8,272,598478.3,264,70220.9,16
"374",598370.3,272,598362.8,264,70339.3,16
"375",597533.2,276,598402.6,264,70752.7,16
"376",598363,272,598475.7,268,70422.3,20
"377",598273.9,264,598516.7,268,70312.9,16
"378",598968.6,268,598521.4,268,70477,20
"379",597558.2,264,598441.3,268,70391.7,16
"380",598916.1,276,598486.2,268,70449.6,20
"381",598143.8,272,598140.3,264,70589,16
"382",599209.1,276,598439,264,70508.3,16
"383",598246,276,598421.7,264,70157.1,16
"384",598736.9,260,598390.8,268,70769.5,16
"385",598730.9,284,598330.7,264,70451.1,20
"386",598530.2,276,598284.4,268,69930.7,16
"387",597677.5,272,598436.6,264,70177.5,16
"388",597500.2,276,598241.2,264,69854.9,16
"389",598090.3,276,598218.9,260,69927.8,12
"390",597936.2,268,598507,264,70439,16
"391",597581.3,268,598362.6,264,70236.7,12
"392",598304.6,280,598164,264,70418.4,16
"393",597398.3,272,598188,260,69817.1,12
"394",599320,276,598302.5,264,70082.7,12
"395",598118.8,268,598380.1,268,70335.6,20
"396",599137.9,276,598534.1,268,70623.4,20
"397",597691,280,597969.3,260,69775.2,12
"398",598709.5,268,598450.5,264,70770.1,16
"399",598393.2,276,598396,264,70048.9,16
"400",597968.9,276,598528.9,268,70656.1,16
"401",598202,272,598270.6,264,70052.1,16
"402",599059.1,268,598104.6,264,69934.4,12
"403",598679.5,272,598455.2,264,70665.1,16
"404",597988.2,268,598112.8,264,70075.9,16
"405",598173.8,276,598270.1,264,69833.8,12
"406",598788.4,268,598172.2,264,70360.8,16
"407",598351.3,276,598180.8,264,69948.9,16
"408",598926.2,276,598515.6,264,70096.8,16
"409",598588.7,280,598298.4,264,70151.4,16
"410",598951.2,268,598521.7,264,70400.9,16
"411",598893,276,598216.7,264,70124.4,16
"412",598547,272,598484.4,264,70349.3,16
"413",598039.6,268,598380.9,264,70251.9,12
"414",598190.6,272,598233.2,264,69988.1,16
"415",598030.4,272,598036.2,264,70434.5,16
"416",598218.5,276,598108,260,70164.9,12
"417",598891.3,276,598200,264,70478.9,16
"418",598788.4,260,598435.7,268,70212.5,16
"419",598582.8,260,598325.1,264,70040.6,12
"420",598862.9,268,598293.5,264,70212.9,12
"421",597859.9,272,598279,264,70284.5,16
"422",598098.6,276,598271.9,264,70186.9,16
"423",598951.4,268,598424.8,268,70079.2,16
"424",598963.6,264,598259,264,70027.6,12
"425",598326,272,598368.1,264,70160.3,12
"426",598956.5,272,598312.1,264,70514.6,16
"427",598334.6,272,598353.3,268,70179.7,16
"428",597925.3,260,598263.8,264,70253.5,16
"429",598533.9,268,598220.7,264,70658.6,16
"430",597944.8,276,598468.8,264,70567.8,16
"431",597930.3,272,598517.7,268,70553.6,20
"432",598790.7,276,597955.3,264,70376.7,16
"433",598661.3,264,598541.8,264,70455.6,16
"434",598745.1,276,598043.8,264,69891.7,16
"435",599375.4,268,598170.6,264,70281.9,16
"436",598786.2,268,598474.3,268,70539.7,20
"437",598974.2,272,598194.8,264,70210.1,16
"438",598979.7,272,598071.8,260,70047.2,16
"439",597755.7,280,597976.8,264,70138.1,16
"440",597686.7,268,598268.3,268,70008.9,16
"441",598392.7,272,598251.3,264,70437.3,16
"442",597733.6,268,598349.4,264,70069.7,16
"443",597753.3,272,597987,264,70018.2,16
"444",598192.3,280,598157.8,264,70277.1,16
"445",598340.9,272,598415.6,264,70028,16
"446",597608,272,598565.8,264,70646.2,16
"447",597300.3,268,598007.8,260,69633.6,12
"448",597134.8,268,598253.7,260,70003.2,12
"449",598570.1,276,598367.6,264,69857.1,12
"450",597838,272,598337.5,264,70252.3,16
"451",598065.1,272,598263.4,260,70054.1,12
"452",598382.5,276,598493.3,268,70760.7,20
"453",597555.2,276,598423.3,264,70731.4,16
"454",598845,276,598185.2,264,70056.4,16
"455",597779.5,276,598257.6,260,70074.9,12
"456",598292.5,268,598363.2,260,70237.3,16
"457",598614,276,598040.2,264,70165.1,16
"458",598165.3,260,598025.4,264,70059.3,16
"459",598401.3,280,598345.1,264,70531.7,16
"460",598457.5,264,598279.7,260,69957.8,12
"461",598166.9,276,598251.1,268,70444.5,16
"462",598183.8,280,598152.8,264,70404.8,16
"463",598190.1,272,598329.2,264,69822.8,16
"464",598721.2,268,598542.3,268,70566.9,20
"465",598938.9,268,598431.7,264,70199,20
"466",599109.2,276,598293.4,264,70703.1,16
"467",598779.7,284,598325.8,268,70871.6,20
"468",597672.1,268,598481.6,264,70047.8,12
"469",597793.8,264,598278.7,264,70192,20
"470",597470.9,276,598534.7,264,70566.3,16
"471",599742.4,276,598356.8,264,70331.6,16
"472",598136.1,280,598436.9,264,70447.9,16
"473",599351.4,268,598213.9,268,70306.2,16
"474",597629.4,280,598456.1,268,70450.4,20
"475",598072.9,264,598292,264,69806.7,16
"476",597904.2,264,598209.3,264,70100.8,12
"477",598502.2,272,598560.7,264,70493.9,16
"478",597846.5,268,598340.1,264,70446.3,16
"479",597512,276,598411.3,268,70562,20
"480",598548.7,264,598286.5,268,70493.5,16
"481",598131.2,276,598337.6,264,70303.8,16
"482",598558,268,598542,268,70514.4,16
"483",598396.2,276,598436.7,268,70104.2,16
"484",598368.3,276,598529.7,268,70648.6,20
"485",598568,264,598496.3,268,69920.9,16
"486",598260.4,268,598236,264,70289.5,16
"487",597989.1,272,598409.8,268,69910.6,16
"488",598571.5,272,597942.5,264,70129.9,16
"489",598715.6,272,598308.2,264,70220.1,16
"490",597761.3,268,598229.5,268,70228.2,20
"491",597885.8,268,598508.1,264,70078.1,16
"492",598139,276,598064.9,264,69780.7,12
"493",599030.3,276,598319.1,264,70307.4,16
"494",598960.8,272,597959.4,260,69476.6,12
"495",598227.8,272,598496,264,70427.5,16
"496",598569.6,268,598516.7,268,70287.9,20
"497",597927,272,598247.4,264,69915.5,16
"498",598324.3,272,598545.8,260,70461.6,12
"499",598491.9,280,598418.2,264,70430.4,16
"500",598326.3,268,598345.9,264,70450.5,16
"501",597752.4,268,598505,264,70492,16
"502",598171,280,598187.7,264,70296.8,16
"503",599179,272,597959,264,69662,12
"504",597660.4,268,598445.9,268,70418.8,20
"505",597805.8,272,598422.5,264,70489.2,16
"506",597881.4,276,598086.7,260,69844.8,12
"507",597576.1,268,598318.2,264,69813,16
"508",597696.9,268,598359.2,268,70573.1,20
"509",598279,276,598245.3,260,69702.3,12
"510",598089.8,272,598087.9,260,69707.5,12
"511",598507.3,272,598507.5,268,70774.6,16
"512",598200.7,272,598249.2,264,70377.1,16
"513",598161.9,276,598159.4,260,70137,12
"514",599016,272,598042.9,264,70043,16
"515",597942.8,276,598125.4,264,69939.1,12
"516",598682.6,272,598368.1,264,70666.4,16
"517",597417.4,280,598383.7,268,70449.6,20
"518",597955.8,268,598466.2,268,70437.8,20
"519",598927.4,276,598433.5,264,69904.3,16
"520",598296,276,598418.7,268,70272.4,20
"521",598087,276,598528.3,268,70577.1,20
"522",598228,268,598220.2,264,70171.2,16
"523",598635.2,272,598417.1,268,70638,16
"524",599314.8,272,598299.7,264,70245.8,16
"525",599174.9,280,598305.2,264,70186.8,16
"526",598106,268,598334.5,264,70619.9,16
"527",598736.8,280,598587.7,268,70859.4,16
"528",599423.9,280,598349.2,264,70163.9,16
"529",598318.3,280,598074.1,264,69997.9,16
"530",598474.7,272,598356.6,264,70221.7,12
"531",598999,272,598196.2,268,70401.2,16
"532",599006.6,272,598228.6,264,69937.9,16
"533",598887.5,280,598407.5,268,70064.2,16
"534",598181.2,264,598288.6,268,69961.5,16
"535",598875.8,272,598526.2,268,70275.8,16
"536",598144,264,598279.8,268,70157.8,16
"537",597800.5,264,598355.5,268,70417.7,16
"538",598254.1,268,598404.9,264,70410.2,12
"539",598102.7,276,598500.1,264,70412.4,12
"540",597671,268,598583,268,70701.4,20
"541",598557.3,276,597768.5,260,69414.6,12
"542",597963.3,280,598280.4,264,69850.9,16
"543",599391.5,264,598120.3,264,70385.6,16
"544",598493.4,280,598350.3,264,70312.7,16
"545",599142,264,598473.8,264,69940.9,16
"546",598447.4,272,598418.5,268,70545.1,16
"547",598045.7,276,598273.4,264,70184.5,12
"548",597302.8,272,597919.8,264,69838,12
"549",598412.5,272,598364.6,264,70232.9,16
"550",598113.5,276,598255.7,264,70286.8,20
"551",598289,280,598416.7,264,70067,16
"552",597972.1,276,598170.4,264,70497.2,16
"553",597549.2,272,598484.3,264,70128.5,16
"554",598425.9,272,598356.6,264,70281.2,16
"555",598912,276,598321.8,264,69872.8,16
"556",598754.7,268,598209.4,264,70097.9,16
"557",598345.4,276,598495.1,264,70798.7,16
"558",598824.5,264,598335.6,264,70483.2,16
"559",599038.9,276,598378.1,268,70428,16
"560",598904.8,268,598367.4,264,70236.4,16
"561",598672.7,272,598403.6,268,70421.6,20
"562",598889.1,272,598452.3,268,70766.9,20
"563",598485.9,280,598437.8,268,70376.7,16
"564",597794.4,272,598108.2,264,69845.5,16
"565",598181.7,280,598542.6,268,70639.5,16
"566",598611.8,276,598237.8,264,70083,16
"567",598030.4,272,598313.2,264,69895.6,12
"568",598351.3,276,598247,264,70095.5,16
"569",598738,264,598572.3,268,70931.6,20
"570",598273.4,272,598500.1,268,70143,16
"571",598251,272,597947.9,264,69733.1,12
"572",598055.7,268,598259.9,264,69995.9,16
"573",597531.6,280,598040.3,264,70225.1,16
"574",597481.9,268,598037.9,264,70149.4,16
"575",598634.7,268,598506.9,268,70939.7,20
"576",598524.2,272,598293.5,264,70215.3,12
"577",597938.7,264,598296,264,70143.4,16
"578",599271.1,268,598438.7,268,70386.5,16
"579",598429.1,276,598397.6,260,70604.4,16
"580",598627.7,264,598094.6,260,69938.6,12
"581",598474.7,276,598479.5,264,70584.1,16
"582",598670.6,276,598401.5,264,70150.2,16
"583",598407.6,276,598333,264,70382.2,16
"584",598802.1,276,598287.1,268,70395.1,20
"585",598810,276,598469.8,268,70132.4,16
"586",598756.6,264,598417.6,264,70599.1,16
"587",598770.4,268,598498.8,264,70126.9,16
"588",598337.7,280,598530.2,268,70820.7,16
"589",598483.2,268,598265.6,264,70186,16
"590",598293,272,598475.7,268,70324.3,16
