"";"gbifID";"datasetKey";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue"
"462";920621830;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Straße MT-040 und Umgebung SO Cuiabá";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-16,14797;-55,811298;250;NA;NA;NA;NA;2012-08-21 00:00:00;21;8;2012;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"192177745";NA;NA;NA;"CC_BY_4_0";NA;"-640879862";NA;NA;2020-03-01 11:56:39;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"463";920621726;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Pantanal Ranch Meia Lua";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-20,266062;-56,304588;250;NA;NA;NA;NA;2013-08-01 00:00:00;1;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"143586010";NA;NA;NA;"CC_BY_4_0";NA;"881932368";NA;NA;2020-03-01 11:56:39;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"464";920613474;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Cristalino Jungle Lodge mit Umgebung";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,597601;-55,931152;250;NA;NA;NA;NA;2013-08-19 00:00:00;19;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"1042718942";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:40;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"465";920611428;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Alta Floresta, Hotel Floresta Amazonica";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,877921;-56,097115;250;NA;NA;NA;NA;2013-08-15 00:00:00;15;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-726940400";NA;NA;NA;"CC_BY_4_0";NA;"881932368";NA;NA;2020-03-01 11:56:40;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"466";920610294;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Rio Teles Pires: Ilha Ariosto, Ilha do Sol und Umgebung";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-9,633883;-55,939671;250;NA;NA;NA;NA;2013-08-19 00:00:00;19;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"1145022633";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:32;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"467";920607241;"6ac3f774-d9fb-4796-b3e9-92bf6c81c084";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";"Hotel Fazenda do Betione, Bodoquena";NA;NA;NA;"bb646dff-a905-4403-a49b-6d378c2cf0d9";-20,552437;-56,641045;250;NA;NA;NA;NA;2013-08-14 00:00:00;14;8;2013;5959231;5959231;"HUMAN_OBSERVATION";"naturgucker";"naturgucker";"-1972897512";NA;NA;NA;"CC_BY_4_0";NA;"794562383";NA;NA;2020-03-01 11:56:45;NA;"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"468";899966099;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"EC";NA;"Orellana";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";-1,029879;-75,984033;63041;NA;NA;NA;NA;2012-03-15 00:00:00;15;3;2012;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"619739";NA;NA;2014-04-11 21:59:02;"CC_BY_NC_4_0";"seasav";"seasav";NA;NA;2020-04-22 02:22:22;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"469";896404052;"e3b959d6-fcbe-4a28-a166-e4a807c340a0";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"CO";"10 km N Puerto Asis";"Putumayo";NA;1;"8edbbde0-055e-11d8-b850-b8a03c50a862";0,583333;-76,516667;10000;300;0;NA;NA;1958-11-14 00:00:00;14;11;1958;5959231;5959231;"PRESERVED_SPECIMEN";"MVZ";"Bird specimens";"MVZ:Bird:141734";"10585";"Museum of Vertebrate Zoology, University of California, Berkeley";1999-01-27 00:00:00;"CC0_1_0";NA;"Collector(s): Alden H. Miller";NA;NA;2020-03-18 17:55:22;NA;"COORDINATE_ROUNDED"
"470";891727001;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";NA;"Mato Grosso do Sul";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";-20,395666;-54,607252;245594;NA;NA;NA;NA;2013-04-19 00:00:00;19;4;2013;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"366185";NA;NA;2013-08-15 16:48:31;"CC_BY_NC_4_0";"Carol";"Carol";NA;NA;2020-04-22 02:22:21;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"471";891165614;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"Animalia";"Chordata";"Aves";"Psittaciformes";"Psittacidae";"Ara";"Ara ararauna";NA;"SPECIES";"Ara ararauna (Linnaeus, 1758)";"Ara ararauna";NA;"BR";NA;"Mato Grosso do Sul";NA;NA;"28eb1a3f-1c15-4a95-931a-4af90ecb574d";-19,573829;-56,178235;30562;NA;NA;NA;NA;2011-11-14 00:00:00;14;11;2011;5959231;5959231;"HUMAN_OBSERVATION";"iNaturalist";"Observations";"300545";NA;NA;2013-06-16 00:13:57;"CC_BY_NC_4_0";"Carmelo López Abad";"Carmelo López Abad";NA;NA;2020-04-22 02:24:24;"StillImage";"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
